LocalCol;TimeCol;PLC1_AI_LT_BACINO;PLC1_AI_FT_PORT_IST;PLC1_AI_LT_SCAR_C;PLC1_AI_POT_ATTIVA;PLC1_AI_LT_INTERNO1;PLC1_AI_PT_TURBINA_OUT;PLC1_AI_POS_GETTO1;PLC1_AI_PT_TURBINAmt;PLC1_AI_FT_PORT_COND;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;LIVELLO VASCA FORESTA [EW164];MISURATORE DI PORTATA TURBINA [EW172];LIVELLO VASCA DI SCARICO [EW168];G1 : Potenza attiva prodotta Turbina [STRUMENTO];LIVELLO INTERNO TORRINO FORESTA [EW170];PRESSIONE USCITA ACQUA TURBINATA [EW174];POSIZIONE DISTRIBUTORE [EW180];PRESSIONE ACQUA TURBINA [EW182];MISURATORE DI PORTATA 1600 [E1.5];;;;;;;;;;;;
11/06/2024 07:15;11/06/2024 05:15;2,60489;1,95855;60,0464;206,59;2,81901;-0,233001;100,118;12,6229;3,04324;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 07:30;11/06/2024 05:30;2,60533;1,94727;60,0165;204,208;2,82292;-0,214337;100,109;12,4813;3,02003;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 07:45;11/06/2024 05:45;2,61111;1,96115;60,0073;206,117;2,81944;-0,215278;100,109;12,6982;3,02173;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 08:00;11/06/2024 06:00;2,61111;1,93099;60,0134;207,942;2,8214;-0,216435;100,109;12,6834;3,04405;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 08:15;11/06/2024 06:15;2,63422;1,9503;59,9967;207,037;2,83225;-0,21969;100,095;12,5521;3,07167;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 08:30;11/06/2024 06:30;2,62889;1,92404;60,037;205,366;2,83225;-0,215133;100,095;12,4769;3,07511;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 08:45;11/06/2024 06:45;2,64889;1,96463;60,0455;204,517;2,83854;-0,206091;100,104;12,4562;3,05089;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 09:00;11/06/2024 07:00;2,64578;1,949;60,0228;203,47;2,83594;-0,222222;100,113;12,6229;3,10561;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 09:15;11/06/2024 07:15;2,67867;1,92166;60,0367;206,81;2,83333;-0,222584;100,118;12,6539;3,08632;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 09:30;11/06/2024 07:30;2,636;1,94618;60,0733;203,266;2,83594;-0,206019;100,095;12,5138;3,09046;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 09:45;11/06/2024 07:45;2,60133;1,95226;59,9943;203,965;2,82682;-0,204138;100,109;12,4828;3,05313;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 10:00;11/06/2024 08:00;2,64933;1,94401;60,0422;204,589;2,82813;-0,206019;100,113;12,6584;3,07398;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 10:15;11/06/2024 08:15;2,65822;1,94944;60,0375;204,603;2,83225;-0,22649;100,109;12,53;3,06826;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 10:30;11/06/2024 08:30;2,62578;1,93208;59,9621;204,706;2,82661;-0,226201;100,104;12,7484;3,04967;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 10:45;11/06/2024 08:45;2,66222;1,95964;59,9811;203,65;2,82921;-0,214627;100,109;12,6259;3,07987;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 11:00;11/06/2024 09:00;2,64044;1,95161;59,9796;204,59;2,83138;-0,209997;100,109;12,5211;3,06928;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 11:15;11/06/2024 09:15;2,61778;1,95812;59,9934;206,294;2,8214;-0,203559;100,118;12,5182;3,03868;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 11:30;11/06/2024 09:30;2,632;1,93793;59,9812;204,922;2,82791;-0,222946;100,104;12,8236;3,0587;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 11:45;11/06/2024 09:45;2,64;1,97331;60,0395;204,672;2,83377;-0,200593;100,104;12,6451;3,07914;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 12:00;11/06/2024 10:00;2,63467;1,94184;60,0168;206,117;2,83659;-0,210793;100,118;12,7779;3,11557;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 12:15;11/06/2024 10:15;2,64444;1,96745;60,0174;204,874;2,83442;-0,220124;100,118;12,3898;3,11092;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 12:30;11/06/2024 10:30;2,64756;1,93685;60,0489;205,315;2,83637;-0,230252;100,109;12,5625;3,11427;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 12:45;11/06/2024 10:45;2,65689;1,96853;60,0249;205,781;2,83312;-0,214916;100,104;12,4444;3,13684;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 13:00;11/06/2024 11:00;2,65244;1,96984;60,0078;204,366;2,83659;-0,224031;100,104;12,5669;3,13955;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 13:15;11/06/2024 11:15;2,66889;1,95812;59,9833;207,458;2,83702;-0,202402;100,104;12,6407;3,11083;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 13:30;11/06/2024 11:30;2,67156;1,9783;59,9967;205,517;2,83594;-0,219835;100,113;12,7115;3,10291;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 13:45;11/06/2024 11:45;2,66089;1,96137;60,0522;205,29;2,83225;-0,221282;100,127;12,6834;3,08431;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 14:00;11/06/2024 12:00;2,648;1,97656;59,9921;205,333;2,82791;-0,214554;100,109;12,6746;3,08762;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 14:15;11/06/2024 12:15;2,62711;1,9783;60,0318;204,294;2,82075;-0,209274;100,109;12,6229;3,01988;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 14:30;11/06/2024 12:30;2,61778;1,97938;60,0202;204,352;2,8125;-0,228299;100,113;12,6967;3,01895;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 14:45;11/06/2024 12:45;2,58978;1,98741;59,9825;204,731;2,81489;-0,220124;100,113;12,5743;3,02528;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 15:00;11/06/2024 13:00;2,59422;1,96029;60,0106;203,152;2,81619;-0,202691;100,109;12,5934;3,02896;0;0;0;0;0;0;0;0;0;0;0;0
