,Power,Var2,Var3,Eta
last_value,93.1737,0.0368355,29.8033,0.8484064386704938
MaxScala,248.0,80.0,50.0,100.0
Media,93.18655784010869,12.0,31.5,0.848523517570823
Dev,2.005190360712985,15.0,0.9,0.01825854734532284
