,Power,Var2,Var3,Eta
last_value,38.91835,0.01976313,28.349,0.6943884454186519
MaxScala,260.0,0.08,40.0,100.0
Media,38.98338104114531,0.0694,27.1,0.695548741360408
Dev,5.095992874700343,0.015,0.5,0.09092365349835485
