,Power,Var2,Var3,Eta
last_value,64.09,0.03032471,26.64182,0.7929964862702614
MaxScala,100.0,0.03,40.0,100.0
Media,52.35146861521619,0.026,26.9,0.647753638055146
Dev,2.263066654322203,0.006,0.5,0.028001309175735734
