timestamp,Colonna acqua linea,Colonna acqua turbina,Fattore di potenza turbina,Livello vasca di carico,Livello vasca di scarico,Livello vasca di scarico (DX),Portata [l/s],Posizione getto 1,Posizione getto 2,Posizione valvola di bypass turbina,Potenza [kW],Pressione acqua di linea,Pressione [bar],Pressione aria compressore,RPM,Sensore vibrazione 1 - lato generatore,Sensore vibrazione 2 - Lato opposto accoppiamento,Temperatura avvolgimento cuscinetto 1 turbina,Temperatura avvolgimento cuscinetto 2 turbina,Temperatura cuscinetto avvolgimento generatore,Temperatura cuscinetto generatore lato turbina,Temperatura generatore lato opposto generatore,Temperatura generatore opposta turbina,Temperatura lato generatore,V L1-L2,V L2-L3,V L3-L1
2025-09-24 11:14:52,0.17,0.04,0.0,0.0,5.68,5.67,0.06,-0.08,-0.54,0.0,0.0,0.17,0.04,8.17,0.0,-0.16,-0.24,23.7,23.6,23.7,23.4,22.8,22.8,22.5,402.23,402.27,400.49
2025-09-24 11:19:52,0.16,0.04,0.04,0.0,5.66,5.65,0.02,-0.08,-0.56,0.0,0.0,0.16,0.04,8.15,0.0,-0.16,-0.24,23.7,23.7,23.7,23.5,22.9,22.8,22.5,402.79,402.82,400.96
2025-09-24 11:24:52,0.16,0.03,0.03,0.0,5.59,5.63,0.06,-0.08,-0.49,0.0,0.0,0.16,0.03,8.1,0.0,-0.17,-0.24,23.8,23.7,23.8,23.5,22.9,22.8,22.6,402.82,402.64,400.93
2025-09-24 11:29:51,0.16,0.03,0.03,0.0,5.59,5.62,0.03,-0.08,-0.49,0.0,0.0,0.16,0.03,8.09,0.0,-0.18,-0.24,23.8,23.8,23.8,23.6,22.9,22.8,22.6,402.52,402.8,400.8
