,Power,Var2,Var3,Eta
last_value,33.1761,0.0180992,31.0358,0.5903975481621683
MaxScala,248.0,0.08,50.0,100.0
Media,42.64071904324634,0.012,31.5,0.758828674105893
Dev,2.3938968079717164,0.015,0.9,0.04260147533856429
