timestamp,Portata [l/s],Pressione [bar],Potenza [kW],Cosphi
2022-02-11 13:04:44,89.40872,26.80474,175.6672,0.9833689
2022-02-11 13:19:48,89.43017,26.8974,177.5295,0.9874176
2022-02-11 13:34:48,88.60961,26.70482,171.4459,0.9798254
2022-02-11 13:49:48,88.8885,26.83017,175.8106,0.981984
2022-02-11 14:04:48,89.03867,26.83017,172.8372,0.9703729
2022-02-11 14:19:48,87.94995,26.86833,173.1244,0.9698843
2022-02-11 14:34:48,89.8485,26.80111,175.6957,0.9698017
2022-02-11 14:49:48,89.40872,26.81382,172.5117,0.9628541
2022-02-11 15:04:48,88.64179,26.83744,174.9978,0.9966403
2022-02-11 15:19:48,70.8362,27.417,143.8375,0.9935945
2022-02-11 15:34:48,71.45296,27.20807,147.3583,0.9929632
2022-02-11 15:49:48,95.03464,26.60126,185.7196,0.9989538
2022-02-11 16:04:48,91.73096,26.7248,179.4701,0.9994129
2022-02-11 16:19:48,91.07129,26.76114,177.5261,0.9985026
2022-02-11 16:34:48,90.7924,26.75569,176.3159,0.9992294
2022-02-11 16:49:48,90.98012,26.76295,177.9801,0.9994268
2022-02-11 17:04:48,90.93185,26.76477,177.7644,0.9983237
2022-02-11 17:19:48,90.92112,26.76114,177.5992,0.9992564
2022-02-11 17:34:48,91.98838,26.71753,183.4224,0.9975241
2022-02-11 17:49:48,90.72269,26.77204,178.9258,0.9900072
2022-02-11 18:04:48,89.95576,26.79384,177.6706,0.9939772
2022-02-11 18:19:48,90.49207,26.77749,179.7881,0.9917651
2022-02-11 18:34:48,90.81386,26.76659,177.0044,0.9914807
2022-02-11 18:49:48,90.57788,26.76659,179.7159,0.9936475
2022-02-11 19:04:48,90.68514,26.76114,179.3483,0.992144
2022-02-11 19:19:48,89.92894,26.79566,176.0698,0.9910726
2022-02-11 19:34:48,91.4038,26.73389,181.6647,0.9948662
2022-02-11 19:49:48,90.32045,26.76841,178.0515,0.9938018
2022-02-11 20:04:48,90.95866,26.75932,179.3783,0.9969668
2022-02-11 20:19:48,90.7924,26.69937,179.5909,0.9977664
2022-02-11 20:34:48,89.88068,26.79202,176.7104,0.9977254
2022-02-11 20:49:48,90.57252,26.76477,179.3213,0.9982475
2022-02-11 21:04:48,90.5457,26.77022,177.859,0.9648082
2022-02-11 21:19:48,90.42771,26.77385,177.1625,0.9521464
2022-02-11 21:34:48,91.37162,26.74297,177.6318,0.9533988
2022-02-11 21:49:48,89.71442,26.80837,175.4606,0.9519864
2022-02-11 22:04:48,90.63687,26.76477,179.1969,0.9611698
2022-02-11 22:19:48,90.84068,26.75569,177.5957,0.9993953
2022-02-11 22:34:48,91.00693,26.67575,177.2426,0.9983513
2022-02-11 22:49:48,90.19173,26.85198,177.1375,0.9981747
2022-02-12 09:02:26,88.96894,26.82109,172.2014,0.94858
2022-02-12 09:17:26,89.19955,26.7575,173.6946,0.9511542
2022-02-12 09:32:26,89.29073,26.81201,175.1417,0.9858468
2022-02-12 09:47:26,90.34727,26.7575,177.0214,0.9822038
2022-02-12 10:02:26,89.72514,26.78294,176.9984,0.9671061
2022-02-12 10:17:26,89.73587,26.77567,179.2316,0.965939
2022-02-12 10:32:26,89.91821,26.78476,177.1197,0.9546868
2022-02-12 10:47:26,89.14593,26.82473,174.7776,0.9686537
2022-02-12 11:02:26,89.19419,26.80656,174.9319,0.9912118
2022-02-12 11:17:26,89.44626,26.80474,175.148,0.9971483
2022-02-12 11:32:26,89.01721,26.80111,174.5496,0.9967706
2022-02-12 11:47:26,89.61252,26.78657,176.4872,0.9983167
2022-02-12 12:02:26,88.65788,26.84289,174.2417,0.9980908
2022-02-12 12:17:26,88.60425,26.84108,177.4794,0.9994504
2022-02-12 12:32:26,88.47553,26.84653,176.8708,0.9993505
2022-02-12 12:47:26,89.02258,26.82836,177.6714,0.9993573
2022-02-12 13:02:26,90.13274,26.79021,176.6972,0.9565328
2022-02-12 13:17:26,89.83777,26.77567,179.2617,0.9589258
2022-02-12 13:32:26,88.8885,26.82654,175.1223,0.9470253
2022-02-12 13:47:26,89.89677,26.79202,178.0401,0.9741477
2022-02-12 14:02:26,88.10548,26.74297,174.5559,0.966609
2022-02-12 14:17:26,90.12738,26.78476,177.2176,0.9649785
2022-02-12 14:32:26,89.14056,26.82473,175.93,0.96639
2022-02-12 14:47:26,88.63107,26.84289,173.9766,0.9713298
2022-02-12 15:02:26,88.49162,26.84289,174.0613,0.976083
2022-02-12 15:17:26,70.36961,27.62229,134.8997,0.9297608
2022-02-12 15:32:26,51.7971,28.14371,113.18,0.8872809
2022-02-12 15:47:26,56.78481,27.93841,124.635,0.941113
2022-02-12 16:02:26,91.45744,26.73934,181.0772,0.9445645
2022-02-12 16:17:26,91.14637,26.74115,179.9541,0.9632447
2022-02-12 16:32:26,90.61543,26.77022,178.5502,0.9689673
2022-02-12 16:47:26,90.50816,26.7575,179.931,0.9790401
2022-02-12 17:02:26,90.77631,26.76295,178.5632,0.9556191
2022-02-12 17:17:26,90.69587,26.76114,180.5802,0.9981959
2022-02-12 17:32:26,90.12202,26.78839,176.9468,0.9930716
2022-02-12 17:47:26,91.27509,26.76659,179.3365,0.9967846
2022-02-12 18:02:26,89.80022,26.79202,178.1608,0.9989805
2022-02-12 18:17:26,89.44626,26.80111,178.3723,0.9977849
2022-02-12 18:32:26,89.97721,26.74479,175.9366,0.9985754
2022-02-12 18:47:26,90.96939,26.7575,180.9649,0.9985252
2022-02-12 19:02:26,91.61296,26.74115,176.5909,0.9994404
2022-02-12 19:17:26,89.74123,26.79747,176.789,0.9986453
2022-02-12 19:32:26,90.20246,26.80293,178.0371,0.9869015
2022-02-12 19:47:26,90.78704,26.76295,180.2151,0.988134
2022-02-12 20:02:26,91.07129,26.7575,177.7936,0.9992974
2022-02-12 20:17:26,89.98257,26.79929,178.4132,0.9987561
2022-02-12 20:32:26,90.84604,26.74842,179.8795,0.9984909
2022-02-12 20:47:26,89.81095,26.79929,175.8233,0.9985819
2022-02-12 21:02:26,90.91039,26.78657,179.7035,0.9995349
2022-02-12 21:17:26,91.09274,26.73752,179.2083,0.9992356
2022-02-12 21:32:26,89.76805,26.79929,176.4498,0.9993232
2022-02-12 21:47:26,91.13564,26.75387,180.5381,0.9589047
2022-02-12 22:02:26,90.94257,26.75569,179.6411,0.9994389
2022-02-12 22:17:26,90.12202,26.80474,179.0461,0.9985653
2022-02-12 22:32:26,89.52135,26.82109,176.2421,0.9975493
2022-02-12 22:47:26,90.01476,26.79202,178.4757,0.9979083
2022-02-12 23:02:26,90.37945,26.6594,180.0082,0.9991387
2022-02-12 23:17:26,90.07911,26.88286,176.9742,0.995851
2022-02-12 23:32:26,89.98257,26.79566,175.5914,0.9677443
2022-02-12 23:47:26,90.42771,26.74297,179.2585,0.9994407
2022-02-13 00:02:26,90.30436,26.78476,176.5555,0.9947518
2022-02-13 00:17:26,89.4248,26.81382,178.2405,0.9971589
2022-02-13 00:32:26,89.35509,26.78839,175.9111,0.9872467
2022-02-13 00:47:26,89.22637,26.82109,174.9226,0.9822948
2022-02-13 01:02:26,89.6447,26.79202,176.4485,0.9821349
2022-02-13 01:17:26,89.61252,26.79747,176.0669,0.9871041
2022-02-13 01:32:26,91.08738,26.75205,181.579,0.9899929
2022-02-13 01:47:26,89.58034,26.81201,174.1558,0.9728263
2022-02-13 02:02:26,89.38727,26.83562,175.4498,0.9752592
2022-02-13 02:17:26,90.2561,26.77567,177.6053,0.9884622
2022-02-13 02:32:26,90.41698,26.78657,177.2143,0.9705147
2022-02-13 02:47:26,89.34972,26.81927,174.901,0.9827162
2022-02-13 03:02:26,89.24783,26.81382,176.4471,0.9750274
2022-02-13 03:17:26,90.47598,26.76841,177.6678,0.9704457
2022-02-13 03:32:26,89.50526,26.81201,175.3198,0.9532936
2022-02-13 03:47:26,89.58034,26.82109,176.1698,0.9647198
2022-02-13 04:02:26,90.0362,26.79929,175.3369,0.9470266
2022-02-13 04:17:26,89.25319,26.82654,174.5789,0.9395053
2022-02-13 04:32:26,90.19173,26.79021,178.3504,0.9562158
2022-02-13 04:47:26,89.79486,26.81564,178.5773,0.9549462
2022-02-13 05:02:26,90.72805,26.77567,177.8951,0.9485759
2022-02-13 05:17:26,88.85095,26.83926,174.0987,0.9456698
2022-02-13 05:32:26,89.81631,26.80656,176.3224,0.9454483
2022-02-13 05:47:26,89.86459,26.79384,178.0027,0.9395294
2022-02-13 06:02:26,89.73051,26.84834,175.5154,0.9327592
2022-02-13 06:17:26,89.56961,26.79566,176.0872,0.999087
2022-02-13 06:32:26,90.21319,26.78294,176.35,0.9992036
2022-02-13 06:47:26,89.8485,26.79747,176.9173,0.9992933
2022-02-13 07:02:26,90.80313,26.75932,180.4566,0.9970651
2022-02-13 07:17:26,89.70905,26.80656,177.1717,0.9982709
2022-02-13 07:32:26,89.78413,26.80111,175.5236,0.9981992
2022-02-13 07:47:26,89.88068,26.79566,178.2265,0.9991555
2022-02-13 08:02:26,89.02258,26.83562,173.9595,0.997951
2022-02-13 08:17:26,88.99576,26.83562,175.4849,0.9967915
2022-02-13 08:32:26,88.46481,26.74842,179.5078,0.9968163
2022-02-13 08:47:26,89.02258,26.83926,173.1382,0.9935296
2022-02-13 09:02:26,89.78413,26.79929,178.5186,0.9933291
2022-02-13 09:17:26,89.32827,26.96643,174.7091,0.9954522
2022-02-13 09:32:26,89.15129,26.83199,178.5973,0.9940241
2022-02-13 09:47:26,89.12447,26.82654,177.8829,0.9951205
2022-02-13 10:02:26,90.1971,26.77749,177.405,0.9906827
2022-02-13 10:17:26,88.40045,26.93737,175.2068,0.9926319
2022-02-13 10:32:26,90.00403,26.79566,178.4086,0.9977508
2022-02-13 10:47:26,88.6257,26.83562,173.9715,0.9945982
2022-02-13 11:02:26,88.55062,26.86106,173.1953,0.9953837
2022-02-13 11:17:26,89.40336,26.82291,177.3655,0.9961871
2022-02-13 11:32:26,89.32827,26.82473,177.8216,0.9941953
2022-02-13 11:47:26,89.10302,26.83562,176.462,0.9955837
2022-02-13 12:02:26,89.12447,26.82473,175.7002,0.9940331
2022-02-13 12:17:26,89.31218,26.82291,175.6742,0.9977347
2022-02-13 12:32:26,89.41409,26.81746,174.7341,0.9936178
2022-02-13 12:47:26,89.83241,26.80656,178.8681,0.9964027
2022-02-13 13:02:26,88.32536,26.86833,174.4239,0.9964388
2022-02-13 13:17:26,89.24783,26.88468,177.7356,0.9970217
2022-02-13 13:32:26,88.35754,26.87196,174.5407,0.9977846
2022-02-13 13:47:26,88.6257,26.86469,172.8631,0.9986382
2022-02-13 14:02:26,89.81095,26.81201,176.8746,0.9991924
2022-02-13 14:17:26,89.74123,26.80474,179.1046,0.9988067
2022-02-13 14:32:26,89.46771,26.82473,179.4365,0.9987617
2022-02-13 14:47:26,88.0733,26.87741,172.7628,0.9985074
2022-02-13 15:02:26,89.06011,26.82473,176.6555,0.9971213
2022-02-13 15:17:26,89.74123,26.84653,174.0735,0.955643
2022-02-13 15:32:26,71.31889,27.37339,142.2704,0.8897375
2022-02-13 15:47:26,65.3819,27.69133,131.5493,0.8584566
2022-02-13 16:02:26,94.69676,26.66303,186.701,0.9711706
2022-02-13 16:17:26,91.04984,26.7575,180.0853,0.9603694
2022-02-13 16:32:26,91.63978,26.73025,179.6386,0.9555048
2022-02-13 16:47:26,90.26682,26.79747,177.1252,0.9983206
2022-02-13 17:02:26,91.09274,26.75205,178.8862,0.9978414
2022-02-13 17:17:26,91.07665,26.77567,180.2591,0.992816
2022-02-13 17:32:26,90.45453,26.78112,179.6506,0.9798642
2022-02-13 17:47:26,91.1142,26.80111,180.6446,0.9801314
2022-02-13 18:02:26,90.56715,26.78112,179.2926,0.9743739
2022-02-13 18:17:26,90.40626,26.83017,175.5801,0.973205
2022-02-13 18:32:26,91.16782,26.79384,180.5886,0.9762358
2022-02-13 18:47:26,91.51106,26.73934,179.9343,0.9743243
2022-02-13 19:02:26,91.17855,26.80293,177.4828,0.9761599
2022-02-13 19:17:26,90.62615,26.75387,178.4429,0.9734361
2022-02-13 19:32:26,91.17319,26.70118,179.4418,0.978293
2022-02-13 19:47:26,90.2561,26.70482,178.7832,0.9762563
2022-02-13 20:02:26,90.86749,26.85925,178.8896,0.9766061
2022-02-13 20:17:26,90.2561,26.83017,178.0532,0.9928486
2022-02-13 20:32:26,90.86213,26.78112,178.653,0.9918377
2022-02-13 20:47:26,89.49453,26.81382,177.2035,0.9907411
2022-02-13 21:02:26,90.86749,26.77022,178.4771,0.9899859
2022-02-13 21:17:26,90.33118,26.77022,179.0081,0.9940553
2022-02-13 21:32:26,89.55352,26.80656,178.1253,0.9910953
2022-02-13 21:47:26,90.9533,26.75569,179.4741,0.9933757
2022-02-13 22:02:26,89.23174,26.83199,175.698,0.9966154
2022-02-13 22:17:26,91.21609,26.75205,181.8206,0.997861
2022-02-13 22:32:26,89.34436,26.82291,177.7774,0.9593846
2022-02-13 22:47:26,89.12984,26.82654,174.856,0.9590374
2022-02-13 23:02:26,90.77095,26.76841,177.8032,0.9560022
2022-02-13 23:17:26,89.52671,26.82109,177.3331,0.9535906
2022-02-13 23:32:26,89.55888,26.81746,174.0837,0.9477829
2022-02-13 23:47:26,90.95866,26.81564,179.9305,0.9542253
2022-02-14 00:02:26,90.81922,26.76295,179.6079,0.9991152
2022-02-14 00:17:26,90.81922,26.76477,181.9347,0.9988669
2022-02-14 00:32:26,90.76559,26.73025,180.7419,0.9975945
2022-02-14 00:47:26,89.14056,26.82109,175.3138,0.998687
2022-02-14 01:02:26,89.41944,26.81746,179.4081,0.9990231
2022-02-14 01:17:26,89.81095,26.80656,179.51,0.9988893
2022-02-14 01:32:26,90.81386,26.76841,178.5893,0.9991665
2022-02-14 01:47:26,90.36336,26.78294,178.7551,0.9988562
2022-02-14 02:02:26,89.54816,26.80837,177.5593,0.9965172
2022-02-14 02:17:26,90.30972,26.7575,180.091,0.9993303
2022-02-14 02:32:26,89.97185,26.78112,175.4424,0.9993949
2022-02-14 02:47:26,90.27218,26.78476,179.7622,0.9992802
2022-02-14 03:02:26,89.47844,26.81201,179.6124,0.9994006
2022-02-14 03:17:26,90.45453,26.79747,180.0457,0.9992921
2022-02-14 03:32:26,90.63687,26.77567,178.685,0.9992533
2022-02-14 03:47:26,90.55106,26.73752,179.6724,0.9993229
2022-02-14 04:02:26,90.13274,26.77749,178.2429,0.9993311
2022-02-14 04:17:26,90.88894,26.75387,179.6415,0.999468
2022-02-14 04:32:26,90.26146,26.7793,177.5775,0.9987646
2022-02-14 04:47:26,89.55352,26.79747,175.9939,0.9989438
2022-02-14 05:02:26,90.94794,26.89921,178.5302,0.999519
2022-02-14 05:17:26,89.66615,26.65395,178.7946,0.999537
2022-02-14 05:32:26,90.85677,26.77749,179.88,0.9992191
2022-02-14 05:47:26,90.79777,26.77749,180.2241,0.9964556
2022-02-14 06:02:26,90.0362,26.78476,177.7111,0.9941422
2022-02-14 06:17:26,89.28001,26.7466,177.6365,0.9892828
2022-02-14 06:32:26,89.12447,26.81382,176.3378,0.9967414
2022-02-14 06:47:26,89.01185,26.72117,177.5706,0.9978738
2022-02-14 07:02:26,89.82168,26.79384,176.7741,0.9566159
2022-02-14 07:17:26,89.77878,26.79202,177.8402,0.9518036
2022-02-14 07:32:26,89.45162,26.80474,175.3831,0.9478888
2022-02-14 07:47:26,89.16738,26.82291,174.051,0.9996653
2022-02-14 08:02:26,89.21028,26.81019,176.836,0.9987704
2022-02-14 08:17:26,88.58279,26.85561,174.3162,0.9978815
2022-02-14 08:32:26,88.59352,26.81927,174.7489,0.9730101
2022-02-14 08:47:26,89.22101,26.81746,176.5246,0.9656124
2022-02-14 09:02:26,89.8485,26.79021,175.0899,0.9918379
2022-02-14 09:17:26,89.43553,26.81201,177.5493,0.9871461
2022-02-14 09:32:26,89.06548,26.92465,175.6326,0.9630775
2022-02-14 09:47:26,89.59643,26.80111,175.9168,0.9815153
2022-02-14 10:02:26,89.54279,26.79384,175.7801,0.9735237
2022-02-14 10:17:26,90.07375,26.78112,180.162,0.9917698
2022-02-14 10:32:26,88.67934,26.83744,175.8998,0.9855079
2022-02-14 10:47:26,89.39263,26.80111,176.0239,0.9942136
2022-02-14 11:02:26,89.6876,26.79566,175.0174,0.9904428
2022-02-14 11:17:26,89.77341,26.78839,176.6265,0.9944622
2022-02-14 11:32:26,89.69833,26.79021,178.4319,0.9918219
2022-02-14 11:47:26,89.26928,26.81382,176.038,0.9852557
2022-02-14 12:02:26,89.71978,26.76114,175.0588,0.9792011
2022-02-14 12:17:26,89.72514,26.79747,176.903,0.9868371
2022-02-14 12:32:26,89.73051,26.80293,175.8272,0.9872531
2022-02-14 12:47:26,88.55062,26.84471,176.5606,0.9912199
2022-02-14 13:02:26,89.34972,26.80656,177.2607,0.995671
2022-02-14 13:17:26,90.05229,26.85743,177.9865,0.990124
2022-02-14 13:32:26,88.80269,26.83381,176.1984,0.9829636
2022-02-14 13:47:26,89.94503,26.79747,175.3236,0.9853893
