t,Q,P,Bar,Eta,PST,PPAR
2025-07-24 00:00:00,0.09550479749999999,205.015375,26.8977225,0.7980552245203139,140.16600000000005,64.849375
2025-07-24 01:00:00,0.0948941375,204.09995,26.9411225,0.7968253346282178,138.706325,65.393625
2025-07-24 02:00:00,0.09481086000000001,203.64052500000005,26.9159125,0.7987400728470974,138.62277500000002,65.01774999999999
2025-07-24 03:00:00,0.0941217425,202.114275,26.9572525,0.7974809891429544,137.070025,65.04425
2025-07-24 04:00:00,0.09374419,201.626075,26.99043125,0.7978509321755424,136.444575,65.1815
2025-07-24 05:00:00,0.09352251750000001,201.4824,26.9833875,0.7970072684584011,135.70215,65.78025
2025-07-24 06:00:00,0.09315725999999999,200.675275,27.033345,0.7945359625871612,135.03215,65.643125
2025-07-24 07:00:00,0.09137545500000001,197.252825,27.04404375,0.7990322692768775,131.74295,65.509875
2025-07-24 08:00:00,0.091197435,196.371,27.02405375,0.7952422805999206,130.64525,65.72575
2025-07-24 08:30:00,0.09101712499999999,195.73565,27.040192500000003,0.7931523833082691,129.79039999999998,65.94525
