,Power,Var2,Var3,Eta
last_value,77.3752,1.0321,1.5224,0.49225798400301307
MaxScala,400.0,3.0,2.0,100.0
Media,70.07644027124589,0.9787,1.41,0.445823561218983
Dev,8.676662586553217,0.983,0.04,0.05520058665736638
