TAG,Name,last_power,last_eta,state,Energy
PAR,Partitore,50.233,0.6974262275715593,O,483.6618716816817
TF,Torrino Foresta,211.7768,0.7689284193616371,O,390.1811308504273
ST,San Teodoro,147.8375,0.7789340720969669,O,1477.3681310022523
PG,Ponte Giurino,56.582,0.7942321849511054,O,970.9325668504276
