0,PRESSIONE ACQUA DI LINEA [EW166],PRESSIONE ACQUA TURBINA [EW164],G1 : Potenza attiva prodotta Turbina [STRUMENTO],MISURATORE DI PORTATA [EW168],1,2,3
02/12/2024 14:15:00,33.0594,32.1933,0.0,99.8264,ND,ND,02/12/2024 15:15:00
02/12/2024 14:30:00,33.0783,32.2078,0.0,99.8445,ND,ND,02/12/2024 15:30:00
02/12/2024 14:45:00,32.9349,32.0674,0.0,99.8481,ND,ND,02/12/2024 15:45:00
02/12/2024 15:00:00,33.086,32.2208,0.0,99.8264,ND,ND,02/12/2024 16:00:00
02/12/2024 15:15:00,33.0581,32.2266,0.0,99.8445,ND,ND,02/12/2024 16:15:00
02/12/2024 15:30:00,31.9263,31.0807,37.908,118.515,ND,ND,02/12/2024 16:30:00
02/12/2024 15:45:00,31.3964,30.57,81.4968,12.207,ND,ND,02/12/2024 16:45:00
02/12/2024 16:00:00,30.8482,30.0362,95.4636,12.1781,ND,ND,02/12/2024 17:00:00
02/12/2024 16:15:00,32.0026,31.1863,32.2308,12.2287,ND,ND,02/12/2024 17:15:00
02/12/2024 16:30:00,31.9664,31.1386,31.9272,12.2143,ND,ND,02/12/2024 17:30:00
02/12/2024 16:45:00,31.7928,30.9549,46.3416,12.1926,ND,ND,02/12/2024 17:45:00
02/12/2024 17:00:00,31.6575,30.8232,65.9448,12.2143,ND,ND,02/12/2024 18:00:00
02/12/2024 17:15:00,31.9927,31.1733,31.692,12.1998,ND,ND,02/12/2024 18:15:00
02/12/2024 17:30:00,31.8772,31.0561,31.308,12.1998,ND,ND,02/12/2024 18:30:00
02/12/2024 17:45:00,31.8975,31.059,30.9852,12.2179,ND,ND,02/12/2024 18:45:00
02/12/2024 18:00:00,31.9415,31.1212,31.3848,12.2106,ND,ND,02/12/2024 19:00:00
02/12/2024 18:15:00,31.8681,31.0576,31.0788,12.2143,ND,ND,02/12/2024 19:15:00
02/12/2024 18:30:00,31.8812,31.0431,31.2624,12.2179,ND,ND,02/12/2024 19:30:00
02/12/2024 18:45:00,31.8901,31.0692,31.5564,12.2179,ND,ND,02/12/2024 19:45:00
02/12/2024 19:00:00,31.8953,31.0576,31.578,12.2179,ND,ND,02/12/2024 20:00:00
