LocalCol;TimeCol;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA TURBINA [EW164];G1 : Potenza attiva prodotta Turbina [STRUMENTO];POSIZIONE GETTO 2 [EW66];LIVELLO ALL'OPERA DI PRESA [PlcOperaP]
02/12/2024 17:00;02/12/2024 16:00;12,1781;35,5682;30,0362;95,4636;0;40,9446
02/12/2024 17:15;02/12/2024 16:15;12,2287;14,7792;31,1863;32,2308;0;41,3157
02/12/2024 17:30;02/12/2024 16:30;12,2143;14,7792;31,1386;31,9272;0;40,9446
02/12/2024 17:45;02/12/2024 16:45;12,1926;18,5565;30,9549;46,3416;0;40,6682
02/12/2024 18:00;02/12/2024 17:00;12,2143;24,2284;30,8232;65,9448;0;40,6682
02/12/2024 18:15;02/12/2024 17:15;12,1998;14,6447;31,1733;31,692;0;40,6926
02/12/2024 18:30;02/12/2024 17:30;12,1998;14,6447;31,0561;31,308;0;40,3892
02/12/2024 18:45;02/12/2024 17:45;12,2179;14,6447;31,059;30,9852;0;40,1129
02/12/2024 19:00;02/12/2024 18:00;12,2106;14,6447;31,1212;31,3848;0;40,8064
02/12/2024 19:15;02/12/2024 18:15;12,2143;14,6447;31,0576;31,0788;0;40,7603
02/12/2024 19:30;02/12/2024 18:30;12,2179;14,6447;31,0431;31,2624;0;40,6682
02/12/2024 19:45;02/12/2024 18:45;12,2179;14,6447;31,0692;31,5564;0;41,0367
02/12/2024 20:00;02/12/2024 19:00;12,2179;14,6447;31,0576;31,578;0;40,7603
02/12/2024 20:15;02/12/2024 19:15;12,1926;14,6447;31,0113;31,1412;0,541143;40,4813
02/12/2024 20:30;02/12/2024 19:30;12,2179;14,6447;31,0417;31,1916;0;39,7472
02/12/2024 20:45;02/12/2024 19:45;12,2106;14,6447;31,0503;31,386;0;40,5409
02/12/2024 21:00;02/12/2024 20:00;12,2251;14,6447;31,0561;31,488;0;40,5761
02/12/2024 21:15;02/12/2024 20:15;12,2432;14,6447;31,1212;31,2756;0;40,8281
02/12/2024 21:30;02/12/2024 20:30;12,2251;14,6447;31,0359;30,9972;0;40,7603
02/12/2024 21:45;02/12/2024 20:45;12,2106;17,6152;30,9968;42,4824;0;41,1288
02/12/2024 22:00;02/12/2024 21:00;12,236;20,989;30,855;55,26;0;41,2209
02/12/2024 22:15;02/12/2024 21:15;12,2143;18,695;30,9635;47,4444;0;41,1288
02/12/2024 22:30;02/12/2024 21:30;12,2143;17,2078;31,0663;41,2332;0;41,3157
02/12/2024 22:45;02/12/2024 21:45;12,2179;25,3082;30,816;69,1992;0;41,1802
02/12/2024 23:00;02/12/2024 22:00;12,2323;19,7748;30,9635;51,7836;0;41,0394
02/12/2024 23:15;02/12/2024 22:15;12,207;14,8504;31,1777;32,7852;0;41,3157
02/12/2024 23:30;02/12/2024 22:30;12,2323;26,388;30,7813;73,0176;0;40,7197
02/12/2024 23:45;02/12/2024 22:45;12,2143;22,4723;30,9317;61,6704;0;40,9337
03/12/2024;02/12/2024 23:00;12,1962;15,9935;31,2572;37,5072;0;41,7708
03/12/2024 00:15;02/12/2024 23:15;12,236;30,4382;30,693;85,7484;0;41,3157
03/12/2024 00:30;02/12/2024 23:30;12,236;29,8964;30,7885;84,9444;0;41,3157
03/12/2024 00:45;02/12/2024 23:45;12,2251;16,6698;31,2167;40,0404;0;41,546
03/12/2024 01:00;03/12/2024;12,2143;33,8121;30,379;93,162;1,90196;41,0367
03/12/2024 01:15;03/12/2024 00:15;12,2106;41,252;30,0217;109,182;0;25,8741
03/12/2024 01:30;03/12/2024 00:30;12,2179;52,9834;29,8322;129,318;0;35,2014
03/12/2024 01:45;03/12/2024 00:45;12,2323;46,6352;30,0101;119,756;0;31,7907
03/12/2024 02:00;03/12/2024 01:00;12,2251;38,6732;30,4485;105,707;0;32,9122
03/12/2024 02:15;03/12/2024 01:15;12,2106;46,7736;30,1186;120,748;0;37,3388
03/12/2024 02:30;03/12/2024 01:30;12,1926;40,4293;30,5122;110,002;0;40,8524
03/12/2024 02:45;03/12/2024 01:45;12,1889;26,119;31,0258;74,5056;0;41,1288
03/12/2024 03:00;03/12/2024 02:00;12,2468;30,9762;30,8623;87,7404;0;41,4078
03/12/2024 03:15;03/12/2024 02:15;12,1889;49,6056;29,5211;122;0;36,0439
03/12/2024 03:30;03/12/2024 02:30;118,515;6,1369;32,4696;0;0;44,1819
03/12/2024 03:45;03/12/2024 02:45;12,1817;35,9638;30,5064;99,0048;0;41,2209
03/12/2024 04:00;03/12/2024 03:00;12,2106;52,4415;29,3808;125,191;0;30,7748
03/12/2024 04:15;03/12/2024 03:15;12,1998;45,7729;29,7931;116,495;0;32,1591
03/12/2024 04:30;03/12/2024 03:30;12,236;41,2362;29,9957;108,144;0;32,9935
03/12/2024 04:45;03/12/2024 03:45;12,1926;33,4087;30,5194;92,9352;0;40,4813
03/12/2024 05:00;03/12/2024 04:00;12,1998;18,695;31,1603;48,288;0;41,4999
03/12/2024 05:15;03/12/2024 04:15;12,2323;26,388;30,8232;73,116;0;40,9446
03/12/2024 05:30;03/12/2024 04:30;12,2251;25,4427;30,8955;71,3136;0,270571;41,3157
03/12/2024 05:45;03/12/2024 04:45;12,1962;16,4365;31,2905;39,726;0,246697;41,8683
03/12/2024 06:00;03/12/2024 05:00;12,1998;24,2284;31,0113;67,146;0,270571;41,4078
03/12/2024 06:15;03/12/2024 05:15;12,2179;34,089;30,6293;95,6388;0,270571;40,8524
03/12/2024 06:30;03/12/2024 05:30;12,2287;18,695;31,2297;49,0452;0;41,592
03/12/2024 06:45;03/12/2024 05:45;12,2323;16,2625;31,2977;38,9904;0;41,7817
03/12/2024 07:00;03/12/2024 06:00;12,1962;30,9762;30,7509;86,8944;0;40,9446
03/12/2024 07:15;03/12/2024 06:15;12,1962;22,8797;31,0127;63,7392;0;40,8524
03/12/2024 07:30;03/12/2024 06:30;12,2432;14,7792;31,1675;32,8524;0;40,5734
03/12/2024 07:45;03/12/2024 06:45;12,1962;14,7792;31,0923;32,5896;0;40,7603
03/12/2024 08:00;03/12/2024 07:00;12,2143;14,7792;31,1415;32,5284;0;40,9364
03/12/2024 08:15;03/12/2024 07:15;12,2106;14,7792;31,0778;32,4084;0;41,0936
03/12/2024 08:30;03/12/2024 07:30;12,2287;19,7748;30,8854;51,5712;0;40,7603
03/12/2024 08:45;03/12/2024 07:45;12,2179;14,7792;31,0778;32,274;0;40,9446
03/12/2024 09:00;03/12/2024 08:00;12,2179;14,7792;31,1386;32,454;0;41,1288
03/12/2024 09:15;03/12/2024 08:15;12,2323;17,2078;30,9766;41,9328;0;41,0367
03/12/2024 09:30;03/12/2024 08:30;12,2179;31,6525;29,9595;85,0128;0;31,3762
03/12/2024 09:45;03/12/2024 08:45;12,2143;23,5521;30,57;64,0332;0;32,644
03/12/2024 10:00;03/12/2024 09:00;12,1889;27,1988;30,3863;75,2184;0;34,8275
