LocalCol;TimeCol;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA DI LINEA [EW166];G1 : Potenza attiva prodotta Turbina [STRUMENTO];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];LIVELLO CA PREVITALI [PlcCaPrevitali]
02/12/2024 16:00;02/12/2024 15:00;99,8264;0,2;33,086;0;43,5182;23,2003
02/12/2024 16:15;02/12/2024 15:15;99,8445;0,2;33,0581;0;43,4423;23,2463
02/12/2024 16:30;02/12/2024 15:30;118,515;15,1827;31,9263;37,908;42,1474;23,8478
02/12/2024 16:45;02/12/2024 15:45;12,207;29,224;31,3964;81,4968;40,8416;20,7039
02/12/2024 17:00;02/12/2024 16:00;12,1781;35,5682;30,8482;95,4636;40,9446;16,727
02/12/2024 17:15;02/12/2024 16:15;12,2287;14,7792;32,0026;32,2308;41,3157;17,9759
02/12/2024 17:30;02/12/2024 16:30;12,2143;14,7792;31,9664;31,9272;40,9446;19,0392
02/12/2024 17:45;02/12/2024 16:45;12,1926;18,5565;31,7928;46,3416;40,6682;21,1197
02/12/2024 18:00;02/12/2024 17:00;12,2143;24,2284;31,6575;65,9448;40,6682;18,6748
02/12/2024 18:15;02/12/2024 17:15;12,1998;14,6447;31,9927;31,692;40,6926;17,8093
02/12/2024 18:30;02/12/2024 17:30;12,1998;14,6447;31,8772;31,308;40,3892;18,068
02/12/2024 18:45;02/12/2024 17:45;12,2179;14,6447;31,8975;30,9852;40,1129;17,3826
02/12/2024 19:00;02/12/2024 18:00;12,2106;14,6447;31,9415;31,3848;40,8064;18,3023
02/12/2024 19:15;02/12/2024 18:15;12,2143;14,6447;31,8681;31,0788;40,7603;19,3629
02/12/2024 19:30;02/12/2024 18:30;12,2179;14,6447;31,8812;31,2624;40,6682;19,1787
02/12/2024 19:45;02/12/2024 18:45;12,2179;14,6447;31,8901;31,5564;41,0367;18,1168
02/12/2024 20:00;02/12/2024 19:00;12,2179;14,6447;31,8953;31,578;40,7603;18,7615
02/12/2024 20:15;02/12/2024 19:15;12,1926;14,6447;31,8537;31,1412;40,4813;17,2146
02/12/2024 20:30;02/12/2024 19:30;12,2179;14,6447;31,8511;31,1916;39,7472;15,5256
02/12/2024 20:45;02/12/2024 19:45;12,2106;14,6447;31,868;31,386;40,5409;16,5428
02/12/2024 21:00;02/12/2024 20:00;12,2251;14,6447;31,8829;31,488;40,5761;16,8205
02/12/2024 21:15;02/12/2024 20:15;12,2432;14,6447;31,9361;31,2756;40,8281;18,156
02/12/2024 21:30;02/12/2024 20:30;12,2251;14,6447;31,8712;30,9972;40,7603;19,9643
02/12/2024 21:45;02/12/2024 20:45;12,2106;17,6152;31,8054;42,4824;41,1288;19,9169
02/12/2024 22:00;02/12/2024 21:00;12,236;20,989;31,689;55,26;41,2209;19,8709
02/12/2024 22:15;02/12/2024 21:15;12,2143;18,695;31,8015;47,4444;41,1288;18,6234
02/12/2024 22:30;02/12/2024 21:30;12,2143;17,2078;31,901;41,2332;41,3157;20,2881
02/12/2024 22:45;02/12/2024 21:45;12,2179;25,3082;31,6557;69,1992;41,1802;20,2881
02/12/2024 23:00;02/12/2024 22:00;12,2323;19,7748;31,8187;51,7836;41,0394;17,514
02/12/2024 23:15;02/12/2024 22:15;12,207;14,8504;32,0107;32,7852;41,3157;20,4262
02/12/2024 23:30;02/12/2024 22:30;12,2323;26,388;31,6266;73,0176;40,7197;20,9802
02/12/2024 23:45;02/12/2024 22:45;12,2143;22,4723;31,7776;61,6704;40,9337;17,1903
03/12/2024;02/12/2024 23:00;12,1962;15,9935;32,1001;37,5072;41,7708;20,4723
03/12/2024 00:15;02/12/2024 23:15;12,236;30,4382;31,5406;85,7484;41,3157;21,6277
03/12/2024 00:30;02/12/2024 23:30;12,236;29,8964;31,6277;84,9444;41,3157;17,3284
03/12/2024 00:45;02/12/2024 23:45;12,2251;16,6698;32,0648;40,0404;41,546;18,901
03/12/2024 01:00;03/12/2024;12,2143;33,8121;31,2744;93,162;41,0367;23,8925
03/12/2024 01:15;03/12/2024 00:15;12,2106;41,252;30,8833;109,182;25,8741;23,0093
03/12/2024 01:30;03/12/2024 00:30;12,2179;52,9834;30,6972;129,318;35,2014;22,0909
03/12/2024 01:45;03/12/2024 00:45;12,2323;46,6352;30,8824;119,756;31,7907;21,2362
03/12/2024 02:00;03/12/2024 01:00;12,2251;38,6732;31,3029;105,707;32,9122;20,2881
03/12/2024 02:15;03/12/2024 01:15;12,2106;46,7736;30,9831;120,748;37,3388;19,0852
03/12/2024 02:30;03/12/2024 01:30;12,1926;40,4293;31,3765;110,002;40,8524;17,6522
03/12/2024 02:45;03/12/2024 01:45;12,1889;26,119;31,8857;74,5056;41,1288;17,7443
03/12/2024 03:00;03/12/2024 02:00;12,2468;30,9762;31,7153;87,7404;41,4078;22,691
03/12/2024 03:15;03/12/2024 02:15;12,1889;49,6056;30,3851;122;36,0439;21,9054
03/12/2024 03:30;03/12/2024 02:30;118,515;6,1369;33,3364;0;44,1819;24,2175
03/12/2024 03:45;03/12/2024 02:45;12,1817;35,9638;31,3618;99,0048;41,2209;23,2409
03/12/2024 04:00;03/12/2024 03:00;12,2106;52,4415;30,2472;125,191;30,7748;21,5816
03/12/2024 04:15;03/12/2024 03:15;12,1998;45,7729;30,6537;116,495;32,1591;19,8736
03/12/2024 04:30;03/12/2024 03:30;12,236;41,2362;30,866;108,144;32,9935;18,1845
